market;name;odd
1X2;Leeds United;
1X2;döntetlen;
1X2;Everton;3.27
Dupla esély;Leeds United vagy döntetlen;
Dupla esély;Leeds United vagy Everton;
Dupla esély;döntetlen vagy Everton;
Döntetlenre nincs fogadás;Leeds United;
Döntetlenre nincs fogadás;Everton;
Mindkét csapat betalál;igen;
Mindkét csapat betalál;nem;
Összesített;0.5 felett;
Összesített;0.5 alatt;
Összesített;1 felett;
Összesített;1 alatt;
Összesített;1.5 felett;
Összesített;1.5 alatt;
Összesített;2 felett;
Összesített;2 alatt;
Összesített;2.5 felett;
Összesített;2.5 alatt;
Összesített;3 felett;
Összesített;3 alatt;
Összesített;3.5 felett;
Összesített;3.5 alatt;
Összesített;4 felett;
Összesített;4 alatt;
Összesített;4.5 felett;
Összesített;4.5 alatt;
Összesített;5 felett;
Összesített;5 alatt;
Összesített;5.5 felett;
Összesített;5.5 alatt;
ázsiai összesen;0.75 felett;
ázsiai összesen;0.75 alatt;
ázsiai összesen;1.25 felett;
ázsiai összesen;1.25 alatt;
ázsiai összesen;1.75 felett;
ázsiai összesen;1.75 alatt;
ázsiai összesen;2.25 felett;
ázsiai összesen;2.25 alatt;
ázsiai összesen;2.75 felett;
ázsiai összesen;2.75 alatt;
ázsiai összesen;3.25 felett;
ázsiai összesen;3.25 alatt;
ázsiai összesen;3.75 felett;
ázsiai összesen;3.75 alatt;
ázsiai összesen;4.25 felett;
ázsiai összesen;4.25 alatt;
ázsiai összesen;4.75 felett;
ázsiai összesen;4.75 alatt;
ázsiai összesen;5.25 felett;
ázsiai összesen;5.25 alatt;
Hendikep;Leeds United (-2);
Hendikep;Everton (+2);
Hendikep;Leeds United (-1.5);
Hendikep;Everton (+1.5);
Hendikep;Leeds United (-1);
Hendikep;Everton (+1);
Hendikep;Leeds United (-0.5);
Hendikep;Everton (+0.5);
Hendikep;Leeds United (0);
Hendikep;Everton (0);
Hendikep;Leeds United (+0.5);
Hendikep;Everton (-0.5);
Hendikep;Leeds United (+1);
Hendikep;Everton (-1);
Hendikep;Leeds United (+1.5);
Hendikep;Everton (-1.5);
ázsiai hendikep;Leeds United (-1.75);
ázsiai hendikep;Everton (+1.75);
ázsiai hendikep;Leeds United (-1.25);
ázsiai hendikep;Everton (+1.25);
ázsiai hendikep;Leeds United (-0.75);
ázsiai hendikep;Everton (+0.75);
ázsiai hendikep;Leeds United (-0.25);
ázsiai hendikep;Everton (+0.25);
ázsiai hendikep;Leeds United (+0.25);
ázsiai hendikep;Everton (-0.25);
ázsiai hendikep;Leeds United (+0.75);
ázsiai hendikep;Everton (-0.75);
ázsiai hendikep;Leeds United (+1.25);
ázsiai hendikep;Everton (-1.25);
Hendikep 0:1;Leeds United (0:1);
Hendikep 0:1;döntetlen(0:1);
Hendikep 0:1;Everton (0:1);
Hendikep 0:2;Leeds United (0:2);
Hendikep 0:2;döntetlen(0:2);
Hendikep 0:2;Everton (0:2);
Hendikep 0:3;Leeds United (0:3);
Hendikep 0:3;döntetlen(0:3);
Hendikep 0:3;Everton (0:3);
Hendikep 0:4;Leeds United (0:4);
Hendikep 0:4;döntetlen(0:4);
Hendikep 1:0;Leeds United (1:0);
Hendikep 1:0;döntetlen(1:0);
Hendikep 1:0;Everton (1:0);
Hendikep 2:0;Leeds United (2:0);
Hendikep 2:0;döntetlen(2:0);
Hendikep 2:0;Everton (2:0);
Hendikep 3:0;Leeds United (3:0);
Hendikep 3:0;döntetlen(3:0);
Hendikep 3:0;Everton (3:0);
Hendikep 4:0;döntetlen(4:0);
Hendikep 4:0;Everton (4:0);
Páros/ páratlan;páratlan;
Páros/ páratlan;páros;
Félidő/játékidő;Everton/döntetlen;
Félidő/játékidő;Leeds United/Everton;
Félidő/játékidő;döntetlen/Everton;
Félidő/játékidő;Everton/Everton;
Félidő/játékidő;Leeds United/Leeds United;
Félidő/játékidő;döntetlen/Leeds United;
Félidő/játékidő;Everton/Leeds United;
Félidő/játékidő;Leeds United/döntetlen;
Félidő/játékidő;döntetlen/döntetlen;
Pontos végeredmény;other;
Pontos végeredmény;1:0;
Pontos végeredmény;2:0;
Pontos végeredmény;2:1;
Pontos végeredmény;3:0;
Pontos végeredmény;3:1;
Pontos végeredmény;3:2;
Pontos végeredmény;4:0;
Pontos végeredmény;4:1;
Pontos végeredmény;4:2;
Pontos végeredmény;5:0;
Pontos végeredmény;5:1;
Pontos végeredmény;6:0;
Pontos végeredmény;0:0;
Pontos végeredmény;1:1;
Pontos végeredmény;2:2;
Pontos végeredmény;3:3;
Pontos végeredmény;0:1;
Pontos végeredmény;0:2;
Pontos végeredmény;1:2;
Pontos végeredmény;0:3;
Pontos végeredmény;1:3;
Pontos végeredmény;2:3;
Pontos végeredmény;0:4;
Pontos végeredmény;1:4;
Pontos végeredmény;2:4;
Pontos végeredmény;0:5;
Pontos végeredmény;1:5;
Pontos végeredmény;0:6;
Győzelem nagysága;draw;
Győzelem nagysága;Leeds United by 3+;
Győzelem nagysága;Leeds United by 2;
Győzelem nagysága;Leeds United by 1;
Győzelem nagysága;Everton by 1;
Győzelem nagysága;Everton by 2;
Győzelem nagysága;Everton by 3+;
Leeds United páros/ páratlan;páratlan;
Leeds United páros/ páratlan;páros;
Everton páros/ páratlan;páratlan;
Everton páros/ páratlan;páros;
